,Decade,Date,Time,Location,Operator,Flight_Num,Route,Ac_Type,Registration,Cn_Ln,Aboard,Fatalities,Ground,Summary,Aboard_Total,Fatalities_Total,Operator_vs_Military,Country_location
37,1950,1953-06-16,,"Mount Phou-Lassy, French Indo-China",Aigle Azur,,Vientiane - Saigon,Douglas DC-3,F-BEST,19100,"{'total': 34, 'passengers': 31, 'crew': 3}","{'total': 34, 'passengers': 31, 'crew': 3}",0.0,Crashed after on-board fire.  Possibly shot down.,34,34,Aigle Azur,"Mount Phou-Lassy, French Indo-China"
40,1950,1953-07-12,0841,"Pacific Ocean, 325 miles east of Wake Island",Transocean Air Lines,512,Wake Island - Honolulu - Oakland,Douglas DC-6A,N90806,42901/153,"{'total': 58, 'passengers': 50, 'crew': 8}","{'total': 58, 'passengers': 50, 'crew': 8}",0.0,"Lost at sea while en route from Wake Island to Honolulu, Hawaii, approximately 325 miles east of Wake Island. Cause not determined, but there was thunderstorms and turbulence in the area. Fourteen bodies and all life rafts were recovered. The plywood panel from the navigator's table was recovered with the words ""falling in"" written on it. There is some speculation that a bomb caused the accident. The aircraft was named ""The Royal Hawaiian.""",58,58,Transocean Air Lines,"Pacific Ocean, 325 miles east of Wake Island"
45,1950,1953-08-05,,Off Irish coast,Military - U.S. Air Force,,Travis - Lakenheath,Convair B-36,52-1369,303,"{'total': 23, 'passengers': 0, 'crew': 23}","{'total': 19, 'passengers': 0, 'crew': 19}",0.0,"Crashed into the Atlantic Ocean after two of it’s engines caught fire, 500 miles off the Irish coast.",23,19,Military,Off Irish coast
112,1940,1947-06-21,,"Black Sea, Gulf of Karkinitsky",Aeroflot,,,Li-2,CCCP-L4138,,"{'total': 29, 'passengers': 25, 'crew': 4}","{'total': 8, 'passengers': 6, 'crew': 2}",0.0,The plane ditched in the Black Sea. Engine failure due to disconnection of traction altitude corrector.,29,8,Aeroflot,"Black Sea, Gulf of Karkinitsky"
113,1940,1947-07-01,,"Near Eaeka, French Cameroons",Air France,,Bangu i- Yaoundé - Douala,Junkers JU-52/3m,F-BALF,091,"{'total': 13, 'passengers': 10, 'crew': 3}","{'total': 13, 'passengers': 10, 'crew': 3}",0.0,Crashed into the slope of a mountain while en route in reduced visibility.,13,13,Air France,"Near Eaeka, French Cameroons"
128,1940,1947-10-14,1004,"Ocean, 800 miles east of Newfoundland",American International Airways,,"Foynes, Ireland - Botwood, Newfoundland - New York",Boeing 314A,NC18612,2086,"{'total': 69, 'passengers': 62, 'crew': 7}","{'total': 0, 'passengers': 0, 'crew': 0}",0.0,"The plane was 5,000 pounds over its certified weight and had to land at sea when it ran out of fuel in severe headwinds.  Over the next following 25 hours all occupants were rescued by the US Coast Guard ship Bibb using rafts and small boats and the plane was then sunk as a hazard to shipping.",69,0,American International Airways,"Ocean, 800 miles east of Newfoundland"
169,1990,1990-03-12,,"Off Freetown, Sierre Leone",Helicsa,,,Sikorsky S-58ET (helilcopter),EC-DDR,58-1617,"{'total': 13, 'passengers': None, 'crew': None}","{'total': 11, 'passengers': None, 'crew': None}",0.0,Crashed into the sea after takeoff.,13,11,Helicsa,"Off Freetown, Sierre Leone"
227,1980,1984-03-31,0830,Off  Bimini,State Airlines,,Ft. Lauderdale - Bimini,Cessna 402B,N44NC,402B-0852,"{'total': 6, 'passengers': 5, 'crew': 1}","{'total': 6, 'passengers': 5, 'crew': 1}",0.0,"Slowed to 90 knts and soon after began to descent at 5,400 fpm and disappeared from radar and crashed into the sea. The wreckage was never found.",6,6,State Airlines,Off  Bimini
289,1980,1985-06-23,0715,"Atlantic Ocean, 110 miles West of Ireland",Air India,182,Montreal - London,Boeing B-747-237B,VT-EFO,21473/330,"{'total': 329, 'passengers': 307, 'crew': 22}","{'total': 329, 'passengers': 307, 'crew': 22}",0.0,"The aircraft broke up in flight and crashed into the ocean. Detonation of an explosive device in the forward cargo hold. Terrorist working in Vancouver, Canada, checked baggage with bombs onto two flights. One bag transferred at Toronto onto flight 182. The other would have been transferred at Tokyo onto another Air India flight, but exploded at the airport killing 2 baggage handlers. The aircraft was named "" Emperor Kanishka.""",329,329,Air India,"Atlantic Ocean, 110 miles West of Ireland"
414,1940,1946-06-29,,Off Malaya,Military - Royal Air Force,,,Douglas C-47B,KJ918,14641/26086,"{'total': 18, 'passengers': None, 'crew': None}","{'total': 18, 'passengers': None, 'crew': None}",0.0,Disappeared.,18,18,Military,Off Malaya
