Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 18, 2015",?,"Near Abu adh Dhuhur Air Base, Syria",Syrian Air Force,?,Damascus - Abu Adh Dhuhur,Antonov An-26,?,?,37   (passengers:35  crew:2),37   (passengers:35  crew:2),0,"The army transport crashed while attempting to land in fog after hitting electric lines. The Al Nursa front, claimed that it shot down the aircraft."
"February 04, 2015",1055,"Taipei, Taiwan",Transasia,235,Taipei - Kinmen,ATR 72-600,B-22816,1141,58   (passengers:53  crew:5),43   (passengers:39  crew:4),0,"After the aircraft took off, it climbed to 1,300 feet, turned left and began losing altitude and speed. It then, banked to 90 degrees, the wingtip striking a taxi on a roadway and crashed into the Keelung River, coming to rest inverted. The torque censor in the right engine malfunctioned, feathering the engine. The pilot  then mistakenly throttled down a still-running left engine. The plane without power, lost altitude and crashed.  Pilot error."
"March 09, 2015",?,"Villa Castelli, Argentina",Private,?,Filiming,Both Eurocopter AS350B3,LQ-CGK - LQ-FJQ,?,10   (passengers:8  crew:2),10   (passengers:8  crew:2),0,"Three French sports figures, Florence Arthaud, Camille Muffat and Alexis Vastine, participating in the French reality show Droped, were killed along with seven other people when the two helicopters filming the show collided. Five killed on each helicopter"
"March 24, 2015",1053,"Near Digne-Les-Bains, France",Germanwings,9525,"Barcelona, Spain - Dusseldorf, Germany",Airbus A320-211,D-AIPX,147,150   (passengers:144  crew:6),150   (passengers:144  crew:6),0,"The jetliner crashed in a remote mountainous area of southern France. The plane was obliterated with no wreckage larger than a small car. According to a flight tracker, the plane fell from 38,000 ft. to 11,400 ft. in eight minutes. The aircraft impacted the ground at a high rate of speed. The copilot locked the captain out of the cockpit and deliberately put the plane into a controlled descent until it impacted the ground."
"June 25, 2015",1343,"Ella Lake, Alaska",Promech Air,?,Sightseeing,de Havilland DHC-3T Vazar TurbineOtter,N270PA,270,9   (passengers:8  crew:1),9   (passengers:8  crew:1),0,"The Twin Otter crashed while on a sightseeing tour carrying cruise ship passengers. The plane impacted a granite rock face cliff near Ella Lake, about 25 miles northeast of Ketchikan. The pilot’s decision to continue visual flight into an area of instrument meteorological conditions, which resulted in his geographic disorientation and controlled flight into terrain."
"June 30, 2015",1148,"Medan, Indonesia",Military - Indonesian Air Force,?,"Medan - Tanjung Pinang, Sumatra.",Lockheed C130-B Hercules,A-1310,3616,122   (passengers:110  crew:12),122   (passengers:110  crew:12),19,"The military transport crashed shortly after taking off from Soewondo Air Base. Two minutes into the flight, the crew radioed they were having engine problems and returning to the airport. Soon after, the plane went down in a populated area, hitting two empty buildings. The plane was carrying civilian relatives of military personnel."
"July 31, 2015",?,"Near Agustin Codazzi, Colombia",Military - Colombia Air Force,?,Palanquero AB -Valledupar,CASA CN-235-100,FAC1261,C-118,11   (passengers:0  crew:11),11   (passengers:0  crew:11),0,The military transport crashed while en route after the crew reported engine problems. The weather was reported to be poor at the time of the crash.
"August 12, 2015",0845,"Ninia, Indonesia",Komala Air,?,Wamena - Ninia,Pacific Aerospace,PK-KIG,650-0151,6   (passengers:4  crew:2),1   (passengers:0  crew:1),0,"Strong winds forced the crew to enter a holding pattern for 40 minutes. While attempting to land, the pilot touched down half-way down the runway and was unable to stop within the remaining distance. The plane overran the runway and went down an embankment before coming to rest. The copilot was killed."
"August 16, 2015",1455,"Tangok mountain, Papua",Trigana Air Service,267,Jayapura- Oksibil,ATR 42-300,PK-YRN,102,54   (passengers:49  crew:5),54   (passengers:49  crew:5),0,"The passenger plane crashed into Tangok mountain located in a remote area of Papua's eastern most province. There was no distress call from the aircraft. High winds and heavy rain was reported in the accident area. The deviation from the visual approach guidance in visual flight rules without considering the weather and terrain condition, with no or limited visual reference to the terrain. The habit of turning off the ground warning system. Inaccurate navigation charts"
"September 05, 2015",1908,"Off Dakar, Near Dioubel, Senegal",Senegalair,71,Ouagadougou - Dakar,Hawker Siddeley HS-125,6V-AIM,257062,7   (passengers:5  crew:2),7   (passengers:2  crew:5),0,"The air ambulance went missing while on a medical flight. Seven people were on board, including two pilots from Algeria, a flight engineer from Congo, three Senegalese medical crew and a French patient. The collision is due to 6V-AIM's non-compliance with its flight level."
