Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
?,"Ajaccio, France",Amee de l'Air,?,?,Lioré-et-Olivier H-13,F-AEIB,4,4   (passengers:2  crew:2),3   (passengers:1  crew:2),0,The plane crashed mid-air due to a structural failure of the tail.
?,"Barcelona, Spain",Grands Express Aeriens,?,?,Breguet 14,F-ALJU,6083-130,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed into a mountain during a snowstorm.
?,"Cheyenne, Wyoming",US Aerial Mail Service,?,?,De Havilland DH-4,223,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed during a mail flight.
?,"Meadville, Pennsylvania",US Aerial Mail Service,?,?,De Havilland DH-4,291,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The pilot lost control of the aircraft  while on approach in poor weather conditions.
1342,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),?,Paris - London,Farman F-60 Goliath,F-AEBY,15,6   (passengers:4  crew:2),6   (passengers:4  crew:2),0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette."
1730,"East Mallling, United Kingdom",Air Union,?,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,F-AECB,4,11   (passengers:9  crew:2),1   (passengers:1  crew:0),0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed."
?,"Bucharest, Romania",Campagnie France Roumaine,?,?,Blériot Spad 46,F-AEGN,28,2   (passengers:1  crew:1),2   (passengers:1  crew:1),0,Crashed while on approach to Bucharesst.
?,"Colton, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,283,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed during an emergency landing attempt.
c 18:00,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,?,Croydon - Manchester,de Havilland DH-34,G-EBBS,29,5   (passengers:3  crew:2),5   (passengers:3  crew:2),0,Crashed while attempting a forced landing after encountering heavy rain.
?,Russia,CCCP,?,?,Junkers F-13,D-257,?,5   (passengers:2  crew:3),3   (passengers:1  crew:2),0,Crashed during a training flight.
?,"Castalia, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,318,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed under unknown circumstances.
c 02:30,Over the Mediterranean Sea,Military - French Navy,?,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,?,52   (passengers:?  crew:?),52   (passengers:?  crew:?),0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
?,"Egbert, WY",US Aerial Mail Service,?,?,De Havilland DH-4,315,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed into a montain in poor weather conditions.
