Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
1200,Mediterranean Sea,LATI,?,Rome - Seville - Villa Cisneros - Sal - Natal - Rio,Savoia-Marchetti SM-83,I-AREM,34019,16   (passengers:12  crew:4),16   (passengers:12  crew:4),0,Crashed into the Mediterranian sea while en route without a trace.
1205,"Off  Fernando de Noronha, Brazil",LATI,?,Rio de Janeiro - Natal - Sal - Seville - Rome,Savoia-Marchetti SM-75,I-BAYR,32013,10   (passengers:6  crew:4),10   (passengers:6  crew:4),0,"Crashed near the Equator after the crew had lost an engine. Three hours after taking off, an SOS was transmitted. No trace of the plane was ever found."
1200,"Near Nagyvarad, Hungary",Malert Airlines,?,Budapest - Maros-Vasarhely,Junkers JU-52/3m,HA-JUA,5523,16   (passengers:13  crew:3),12   (passengers:9  crew:3),0,"An engine stalled during the initial climb and the plane crashed and burned,"
?,"Near Kian, China",China National Aviation Corporation,?,?,Ford 5-AT Tri-Motor,23,5-AT-101,6   (passengers:1  crew:5),5   (passengers:1  crew:4),0,Crashed into a mountain during a thunderstorm and reduced visibility.
0413,"Near Robertson, Missouri",Trans Continental and Western Air,6,"Kansas City, MO - New York",Douglas DC-3-3,NC17315,1930,13   (passengers:10  crew:3),2   (passengers:1  crew:1),0,"Shortly after passing over the west boundary of the airport, the pilot started a left turn. While in the turn, the plane contracted trees 113 feet above the level of the airport.  Full power was applied to the engines in an attempt to pull up but other trees were struck and the pilot lost control. The aircraft crashed to the ground at a point approximately one-fourth of a mile southwest of the airport boundary. The action of the pilot in attempting a landing under adverse weather conditions in disregard of the minimums prescribed by the Civil Aeronautics Administration and in maneuvering for such a landing at a dangerously low altitude."
0200,"Armstrong, ON, Canada",Trans Canada Air Lines,3,Toronto - Winnipeg,Lockheed 14-H2 Super Electra,CF-TCP,1501,12   (passengers:9  crew:3),12   (passengers:9  crew:3),0,The plane crashed after the right wing struck a tree as the pilot was attempting to land in adverse weather. Struck several other trees and landed inverted in a swamp.
1150,"Atlanta, Georgia",Eastern Air Lines,21,New York City -  Washington D.C. - Atlanta - Brownsville,Douglas DC-3,NC28394,3204,16   (passengers:13  crew:3),9   (passengers:6  crew:3),0,"The aircraft crashed into a hill in pine woods, near Chandler Field, while attempting to make an instrument landing approach in rain and fog. The failure of the captain in charge of the flight to exercise the proper degree of fare by not checking his altimeters to determine whether both were correctly set and properly functioning before commencing his landing approach. A substantial contributing factor was the absence of an established uniform cockpit procedure on Eastern Air Lines by which both the captain and co-pilot are required to make a complete check of the controls and instruments during landing operations. Captain Edward Rickenbacker, President of Eastern Air Lines, survived the crash."
1550,"Trontheim, Norway",Deutsche Lufthansa,?,?,Junkers JU-52/3m,D-AQUB,5751,12   (passengers:9  crew:3),3   (passengers:3  crew:0),0,The seaplane crashed while attemping to land and sunk.
1145,"Elands Bay, South Africa",South African Airways,?,Luanda - Windhoek - Cape Town,Lockheed 18 Lodestar,ZS-AST,2034,10   (passengers:6  crew:4),10   (passengers:6  crew:4),0,Crashed into a mountain near Elands Bay in inclement weather.
1700,Atlantic Ocean,Great Western and Southern Air Lines,?,"Isles of Scilly - Penzance, Cornwall",de Havilland DH-84 Dragon,G-ACPY,6076,6   (passengers:5  crew:1),6   (passengers:5  crew:1),0,Shot down by a He-111 German military aircraft 20 minutes after takeoff..
?,"Bucharest, Romania",LARES,?,Bucharest - Sofia,Douglas DC-3,YR-PAF,1985,18   (passengers:3  crew:15),0   (passengers:0  crew:0),0,Stalled and crashed during takeoff.
?,Sea of Japan,Manchurian Air Lines,?,?,Mitsubishi MC-20,M-604,?,18   (passengers:15  crew:3),18   (passengers:15  crew:3),0,Crashed while en route. Cause unknown.
0915,"Rome, Italy",Ala Littoria,?,Rome - Cagliari,Macchi C.100,I-PACE,4158,25   (passengers:20  crew:5),5   (passengers:5  crew:0),0,After an engine failed the crew decided to return but encountered turbulence and crashed.
2035,"Arran, Scotland",Military -Royal Air Force,?,?,Consolidated LB-30A Liberator,AM261,?,22   (passengers:17  crew:5),22   (passengers:17  crew:5),0,"Crashed into a mountain ridge in rain, low visibility and overcast conditions. Navigational error."
2040,"Ayr, Scotland",Military - Royal Air Force,?,?,Consolidated LB-30A Liberator,AM260,?,22   (passengers:?  crew:?),22   (passengers:?  crew:?),0,"Crashed and burned on takeoff at Heathfield airfield, after veered off the runway and striking a small building and then an embankment."
?,"Near Sao Paulo, Brazil",Panair do Brasil,?,Curitiba - Sao Paulo,Lockheed 18 LodeStar,PP-PBD,2083,14   (passengers:10  crew:4),8   (passengers:5  crew:3),0,After a goaround the plane diverted from its prescribed course and crashed into a mountain.
?,"Coen, Australila",Airlines of Australia,?,Horn Island - Coen - Cairns,de Havilland DH.80 Puss Moth,VH-UQL,2088,3   (passengers:2  crew:1),3   (passengers:2  crew:1),0,On approach the left wing broke off and the aircraft crashed in a field.
?,"Campbeltown, Argyll, Scotland",British Overseas Airways,?,?,Consolidated 32-2 Liberator I,AM-915,?,10   (passengers:?  crew:?),10   (passengers:?  crew:?),0,Crashed into a hillside.
1340,"Bollemont, France",Air France,?,Marseille - Toulouse,Bloch 220,F-AQNL,12,17   (passengers:14  crew:3),15   (passengers:12  crew:3),0,The aircraft crashed into lake Bolomon after engine failure during takeoff in windy conditions.
1748,"San Juan, Puerto Rico",Pan American World Airways,203,Miami - Buenos Aires,Sikorsky S-42B (flying boat),NC15376,4206,15   (passengers:9  crew:6),2   (passengers:2  crew:0),0,"Following the approach, the aircraft contacted the water in an unduly nose-low attitude while moving sideways relative to the water.  Almost immediately after first contact with the water, the aircraft swerved violently to the right and broke into several major sections. The failure of the captain to exercise requisite caution and skill in landing. A contributing factor was the smooth surface of the water, which rendered difficult, the captain's depth perception as well as the exact determination of any lateral movement of the aircraft."
?,"Near Petrich, bulgaria",Deutsche Lufthansa,?,Athens - Sofia,Junkers JU-53/3m,D-AUXZ,7172,13   (passengers:10  crew:3),13   (passengers:10  crew:3),0,"Crashed on the Greek/Hungarian border. Cause unknown,"
0204,"Near Moorhead, Minnesota",Northwest Orient Airlines,5,Minneapolis - Fargo,Douglas DC-3,NC21712,2124,15   (passengers:13  crew:2),14   (passengers:13  crew:1),0,"Crashed in fog and mist due to icing on the wings. The pilot, Clarence Bates, was thrown clear of the wreckage and was the lone survivor. Accumulation of ice on the wings and other surfaces of the airplane, increasing the stalling speed and the drag of the airplane on the power required to maintain flight. Action of the captain in descending to attempt a landing at Fargo with known icing conditions and critical ceiling conditions instead of proceeding to an available alternate."
2210,"St. Thomas, Ontario, Canada",American Airlines,1,New York - Newark - Buffalo - Detroit,Douglas DC-3,NC25663,2207,20   (passengers:17  crew:3),20   (passengers:17  crew:3),0,"While descending to Detroit, the crew was advised by ATC to abandon the approach due to poor weather conditions. The crew began to descend, circling to the right and apparently banked normally for the radius and speed of the turns. After completing four circles, the plane recovered from the spiral in close proximity to the ground, went up to an altitude of about 200 to 500 feet and then pitched down and crashed in an open field. There was no fire in the plane prior to impact. No evidence of sabotage was discovered. There was no power plant failure prior to the accident, and the engines were functioning normally at the time the plane struck the ground. Nothing was found to indicate that there had been any structural failure or failure of the control system of the plane. As a result of the complete destruction of some portions of the plane, it was impossible to eliminate the possibility that such failure occurred. The probable cause of the accident was listed by the CAB as undetermined."
