Date,Time,Location,Operator,Flight #,Route,"AC
        Type",Registration,cn / ln,Aboard,Fatalities,Ground,Summary
"January 06, 1972",1535,"Near Chetumal, Mexico",SAESA,?,Chetumel - Merida - Mexico City,Hawker Siddeley HS-748-230 Srs. 2A,XA-SEV,1598,23   (passengers:18  crew:5),23   (passengers:18  crew:5),0,The aircraft crashed about 40 km northwest of Chetumal. following a fire onboard while en route.
"January 07, 1972",1210,"Sierra de Atalayasa, Spain",Iberia Airlines,602,Valencia - Ibiza,Sud-Aviation Caravelle VI-R,EC-ATV,163,104   (passengers:98  crew:6),104   (passengers:98  crew:6),0,"The aircraft crashed into hill while attempting to land. Failure to maintain the minimum flight altitude during the final stages of the visual approach. The accident was the result of a controlled flight into terrain due to a premature descent in limited visibility, causing the airplane to descent below the MDA."
"January 21, 1972",?,"Near Funza, Colombia",Lineas Aéreas la Urraca,?,Bogota - San Andres,Vickers Viscount 837,HK-1347,442,20   (passengers:15  crew:5),20   (passengers:15  crew:5),0,Crashed shortly after leaving Bogota after an explosion aboard.
"January 21, 1972",1030,"Near Betania, Colombia",Miliitary - SATENA,661,Medellín - Quibdó - Bahía Solano - Buenaventura - Cali,Douglas C-47,FAC-661,?,39   (passengers:36  crew:3),39   (passengers:36  crew:3),0,The aircraft struck a mountain in rain and thunderstorms operating as a non-scheduled passenger airliner run by the military.
"January 26, 1972",1610,"Near Srbská Kamenice, Czech Republic",JAT Yugoslav Airlines,JU 367,Stockholm - Belgrade,McDonnell Douglas DC-9-32,YU-AHT,47482/592,28   (passengers:23  crew:5),27   (passengers:23  crew:4),0,"The plane crashed after the detonation of a bomb in the forward cargo hold. A flight attendant,  22 year old Vesna Vulovic, fell 33,330 feet in the tail section and although she broke both legs and was temporarily paralyzed from the waist down, she survived. She was in a coma for 27 days and it took 16 months for her to recover. The bomb was believed to be placed on the plane by a Croatian extremist group. On January 27, 1997, 25 years after the crash, Vesna Vulovic returned to the crash-site and was reunited with the firemen who pulled her from the wreckage and the medical team who looked after her in the hospital."
"February 01, 1972",?,"Near Tegal, Indonesia",Royal Air Laos/PENAS,?,Singapore - Jakarta,Douglas DC-6,XW-PEH,43126/132,9   (passengers:6  crew:3),6   (passengers:5  crew:1),0,Due to a compass error the aircraft became lost and crashed during a forced landing due to fuel starvation.
"February 04, 1972",?,"Pha Khao, Laos",Air America,?,Ban Xon - Pha Khao,de Havilland Canada C-7A Caribou,393,51,38   (passengers:34  crew:4),1   (passengers:0  crew:1),0,"After a go-around due to an obstruction on the runway, the aircraft crashed while attempting to land a second time. Overloaded"
"February 05, 1972",?,"Near Valledupar, Colombia",TAC Colombia,772,Bogota - Valledupar,Fairchild F-27,HK-1139,0075,19   (passengers:15  crew:4),19   (passengers:15  crew:4),0,Disappeared while en route. Wreckage found 3 days later. The accident was the result of a controlled flight into terrain due to a premature descent.
"February 11, 1972",1320,"Near Vientiane, Laos",Royal Air Lao,?,Savannakhet - Vientiane,Douglas DC-4,XW-TDE,43126,23   (passengers:17  crew:6),23   (passengers:17  crew:6),0,Shot down while en route. Aircraft not found.
"March 03, 1972",2048,"Albany, New York",Mohawk Airlines,405,"New York City - Albany, NY",Fairchild-Hiller FH-227-B,N7818M,541,48   (passengers:45  crew:3),16   (passengers:14  crew:2),1,"The aircraft was on final approach to Albany County Airport in light snow and two miles visibility, when the pilot reported a malfunctioning left propeller cruise pitch lock. The captain ordered the engine shut down but the crew was unsuccessful in feathering the prop and the plane began to lose altitude. The plane crashed 4 miles short of the runway into a two-family house killing one man. Malfunction of the cruise pitch lock.  Inability of the crew to feather the left propeller, in combination with the descent below the minimum approach altitude. The reason for the malfunction and inability to feather the prop remains undetermined."
"March 14, 1972",2200,"Near Al Fujayrah, United Arab Emirates",Sterling Airways,296,Colombo - Dubai,Aerospatiale Caravelle Super 10B,OY-STL,267,112   (passengers:106  crew:6),112   (passengers:106  crew:6),0,"The aircraft struck a mountain ridge during approach, 50 miles E of Dubai. Incorrect information from an outdated flight plan."
"March 19, 1972",?,"Shamsam Mountains, South Yemen",Egyptair,763,Cairo - Jeddah - Aden,McDonnell Douglas DC-9-32,YU-AHR,47503/587,22   (passengers:13  crew:9),22   (passengers:13  crew:9),0,"The aircraft crashed into Shamsam Mountain and exploded, during a visual approach, 4 miles SW of the airport. Controlled flight into terrain."
"April 12, 1972",2126,"Near Rio de Janeiro, Brazil",VASP,?,Sao Paulo - Rio de Janeiro,NAMC YS-11A-211,PP-SMI,2059,25   (passengers:21  crew:4),25   (passengers:21  crew:4),0,"Crashed in mountainous terrain,  50 miles north of Rio de Janeiro, while on approach. The crew mistakenly tuned the ADF instrument to a wrong NDB, causing the airplane to follow a wrong approach path and to descend at an inappropriate altitude. The lack of visibility due to the night and clouds was considered as a contributing factor."
"April 16, 1972",2210,"Near Ardinello di Amaseno, Italy",Aero Transporti Italiani,?,Rome - Foggia,Fokker F-27 Friendship 200,I-ATIP,10251,18   (passengers:15  crew:3),18   (passengers:15  crew:3),0,Crashed into high ground while en route in thunderstorm activity. Loss of control due to downdrafts and updrafts in thunderstorm activity.
"April 17, 1972",1718,"New York, New York",Helaire Helicopter,?,Sightseeing,Bell 47J-2,N8467E,?,3   (passengers:2  crew:1),3   (passengers:2  crew:1),0,Float equipped sightseeing helicopter encountered turbulence which led to the blades flapping and a steep nose down crash into the river.
"April 18, 1972",0939,"Addis Ababa, Ethiopia",East African Airways,720,Addis Ababa - Rome,BAC Super VC-10 1154,5X-UVA,881,107   (passengers:96  crew:11),43   (passengers:35  crew:8),0,The aircraft broke-up after overrunning the runway and an aborted takeoff. Partial loss of braking power due to the incorrect reassembly and repairs of the braking system.
"April 20, 1972",1620,"Near Moyobamba, Peru",SATCO,?,?,Douglas C-47D,OB-R-653,17102/34369,6   (passengers:2  crew:4),6   (passengers:2  crew:4),0,The cargo plane struck a mountain in poor weather conditions. The pilot elected to use a cruising altitude lower than stipulated in order to save time and continue flying in VFR conditions.
"April 24, 1972",1223,"Nyot Mo, Laos",Air America,?,"Long Tieng, Laos - Moung Cha, Laos",Pilatus PC6CH2,N391R,?,10   (passengers:9  crew:1),4   (passengers:4  crew:0),0,Hit trees while flying through a mountain pass in rain and fog.
"May 04, 1972",2334,"Bratsk, USSR",Aeroflot,608,Irkutsk - 	Bratsk,Yakovlev YAK-40,CCCP-87778,9040314,18   (passengers:14  crew:4),18   (passengers:14  crew:4),0,Crashed on approach. The plane entered an area of severe wind. Windshear. ATC error. Current weather was not passed on to the plane.
"May 05, 1972",2224,"Near Carini, Sicily, Italy",Alitalia,112,Rome - Palermo,McDonnell Douglas DC-8-43,I-DIWB,45625/150,115   (passengers:108  crew:7),115   (passengers:108  crew:7),0,The plane cashed into Mt. Lunga during an approach to Palermo. The crew's non-adherence to airport traffic regulations. The aircraft was named Antonio Pigafetta.
"May 08, 1972",?,Venezuela,Aerotechnia,?,Ciudad Bolívar - Cuchivero,Douglas C-47B,YV-C-GAI,26613,7   (passengers:5  crew:2),7   (passengers:5  crew:2),0,Struck a mountain near Rio Orinoco while en route.
"May 10, 1972",1025,"Near Gia Dinh, South Vietnam",Military - U.S. Army,?,Bien Hoa - Vung Tau,Boeing Vertol CH47A (helicopter),?,?,34   (passengers:32  crew:2),34   (passengers:32  crew:2),0,Metal fatigue of the spar in a blade led to separation of the blade and loss of control of the aircraft.
"May 16, 1972",1230,"Svetlogorsk, Russia",Military - Russian Navy,?,Kaliningrad - Kaliningrad,Antonov An-26,05,9911302,9   (passengers:0  crew:9),9   (passengers:0  crew:9),25,"The military plane was returning after a flight over the Baltic Sea for weather research. The crew didn’t set the barometric altimeter the airfield, so the altimeter indicated a height higher than the actual altitude. After crossing the shoreline it entered a patch of thick fog. The crew couldn’t see the ground and descended to a dangerously low altitude. The aircraft crashed onto a kindergarten, killing 23 children and two adults. The altimeter from an Il-14 was mistakenly installed in the AN-24."
"May 18, 1972",1153,"Near Kharkov, Ukraine, USSR",Aeroflot,1491,Moscow - :	Kharkov,Antonov AN-10A,CCCP-11215,0402502,122   (passengers:115  crew:7),122   (passengers:115  crew:7),0,Structural failure and separation of both wings due to a fatigue crack in the center wing section.
"May 21, 1972",?,"Lobito, Angola",DTA Angola Airlines,?,Luanda - Lobito - Lubango,Fokker F-27 Friendship 200,CR-LLD,10439,25   (passengers:19  crew:6),22   (passengers:17  crew:5),0,Overshot the runway in heavy fog and crashed into the ocean while landing.
"May 27, 1972",1510,"Near Helgoland, Germany",General Air,005,Helgoland - Wangerooge,de Havilland Canada DHC-6 Twin Otter,D-IDHC,31,13   (passengers:10  crew:3),8   (passengers:6  crew:2),0,Crashed after taking off from this North sea island for another island.
"May 29, 1972",?,"Cruzeiro do Sul Acre, Brazil",Amazonese Importacao e Exportacao,?,Cruzeiro do Sul - Rio Branco,Lockheed 049 Constellation,PP-PDG,2037,18   (passengers:15  crew:3),9   (passengers:6  crew:3),0,"The cargo plane cashed into trees shortly after taking off after two engines failed. Refueling directly from the trucks, without allowing sufficient time for the fuel to settle."
"May 29, 1972",0604,"Dulac, Louisiana",Petrolium Helicopter,?,"Dulac, LA - Gulf oil platform",Bell 205A,N2256W,?,11   (passengers:10  crew:1),11   (passengers:10  crew:1),0,Crashed into the water after the fatigue failure of both tail rotor blade grips.
