Decade,Date,Time,Location,Operator,Flight_Num,Route,Ac_Type,Registration,Cn_Ln,Aboard,Fatalities,Ground,Summary,Aboard_Total,Fatalities_Total,Operator_vs_Military,Country_location,Code,Country_Geopy,State_Code
1950,1953-01-07,2055,"Issaquah, Washington",Flying Tiger Line,841,Seattle - Cheyenne - Fort Jackson,Douglas C-54B-10-DO,N86574,18350,"{'total': 7, 'passengers': 3, 'crew': 4}","{'total': 7, 'passengers': 3, 'crew': 4}",0.0,"The plane struck a tree on a mountain ridge at an elevation of 1,620 feet. Following impact with the tree the aircraft continued flying and finally struck the ground in a canyon 1,500 feet below and caught fire. The flight's deviation from the established approach procedure.",7,7,Flying Tiger Line,"{'place_id': 383391892, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 237874, 'lat': '47.5348778', 'lon': '-122.043297', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.45862643010000004, 'addresstype': 'city', 'name': 'Issaquah', 'display_name': 'Issaquah, King County, Washington, United States', 'boundingbox': ['47.5090770', '47.5773690', '-122.1005410', '-121.9857300']}",USA,"Washington, United States",WA
1950,1953-01-07,0412,"Fish Haven, Idaho",Associated Air Transport,1-6-6A,Boeing Field - Cheyenne,Curtiss C-46,N1648M,22395,"{'total': 40, 'passengers': 37, 'crew': 3}","{'total': 40, 'passengers': 37, 'crew': 3}",0.0,"The plane crashed into mountains while en route. Upon entering an area of turbulence, the plane was unable to climb and crashed into trees. Found 5 months later. The inadvertent descent into an area of turbulence and icing which resulted in the pilot's inability to regain a safe altitude.",40,40,Associated Air Transport,"{'place_id': 315821592, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 150956484, 'lat': '42.0368759', 'lon': '-111.3963177', 'class': 'place', 'type': 'hamlet', 'place_rank': 20, 'importance': 0.25001, 'addresstype': 'hamlet', 'name': 'Fish Haven', 'display_name': 'Fish Haven, Bear Lake County, Idaho, 83287, United States', 'boundingbox': ['42.0168759', '42.0568759', '-111.4163177', '-111.3763177']}",USA,"Idaho, United States",ID
1950,1953-02-14,1710,"Off Mobile, Alabama",National Airlines,470,Miami - Orlando - New Orleans,Douglas DC-6,N90893,43057/73,"{'total': 46, 'passengers': 41, 'crew': 5}","{'total': 46, 'passengers': 41, 'crew': 5}",0.0,"The aircraft crashed into the Gulf of Mexico off Mobile, Alabama. The aircraft broke up in the turbulence of a ""frontal wave"" storm after failure of  the left wing. The loss of control followed by the in-flight failure and separation of portions of the airframe structure while the aircraft was traversing an intense frontal-wave type storm of extremely severe turbulence, the severity and location of which the pilot had not been fully informed.",46,46,National Airlines,"{'place_id': 293252853, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8899400, 'lat': '31.50392', 'lon': '-88.039788', 'class': 'highway', 'type': 'unclassified', 'place_rank': 26, 'importance': 0.10001, 'addresstype': 'road', 'name': 'Mobile Cut-Off Road', 'display_name': 'Mobile Cut-Off Road, Washington County, Alabama, United States', 'boundingbox': ['31.4831890', '31.5265560', '-88.0433970', '-88.0310210']}",USA,"Alabama, United States",AL
1950,1953-03-04,0150,"Windsor Locks, Connecticut",Slick Airways,162,"New York, NY - Winsor Locks, CT",Curtiss C-46F,N4717N,22400,"{'total': 2, 'passengers': 0, 'crew': 2}","{'total': 2, 'passengers': 0, 'crew': 2}",0.0,"After missing his first approach to the airport, the pilot displayed poor judgement in attempting a circle under the overcast in rain and at night, rather than execute a standard instrument approach.",2,2,Slick Airways,"{'place_id': 11192627, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 5970168, 'lat': '41.9281305', 'lon': '-72.643631', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.4156525492, 'addresstype': 'town', 'name': 'Windsor Locks', 'display_name': 'Windsor Locks, Capitol Planning Region, Connecticut, 06096, United States', 'boundingbox': ['41.8982714', '41.9482061', '-72.6967524', '-72.6139737']}",USA,"Connecticut, United States",CT
1950,1953-03-20,1838,"Alvarado, California",Transocean Air Lines,942,Roswell - Oakland - Guam,Douglas DC-4  (C-54-10-DO),N88942,36076,"{'total': 35, 'passengers': 30, 'crew': 5}","{'total': 35, 'passengers': 30, 'crew': 5}",0.0,"The aircraft crashed into a flat barley field and burned. The aircraft first struck the ground with its right wing tip in a near vertical position, cartwheeled and disintegrated. All 30 passengers were maintenance personnel from the 509th Bomb Wing, noted for dropping the atomic bombs on Japan. Accumulation of ice on the surfaces of the aircraft in sufficient magnitude to have caused loss of control. Official cause of loss of control unknown.",35,35,Transocean Air Lines,"{'place_id': 311607871, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 10933671730, 'lat': '37.5964872', 'lon': '-122.0789268', 'class': 'place', 'type': 'suburb', 'place_rank': 19, 'importance': 0.2985588731, 'addresstype': 'suburb', 'name': 'Alvarado', 'display_name': 'Alvarado, Union City, Alameda County, California, 94587, United States', 'boundingbox': ['37.5764872', '37.6164872', '-122.0989268', '-122.0589268']}",USA,"California, United States",CA
1950,1953-04-14,0222,"Selleck, Washington",Miami Airlines,,Spokane - Ellenburgh,Douglas DC-3 (C-47-DL),N65743,20432,"{'total': 25, 'passengers': 22, 'crew': 3}","{'total': 7, 'passengers': 5, 'crew': 2}",0.0,"The aircraft crashed into Cedar Mountain following double engine failure. The progressive failure of both engines, due to the lack of compliance with proper maintenance standards. Spark plugs in both engines had been operated beyond their normal maintenance inspection period and exhibited evidence of a condition conducive to detonation and preignition. There was evidence that detonation and preignition took place in both engines and that  they ultimately failed as a result of master rod bearing failures.",25,7,Miami Airlines,"{'place_id': 313411400, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 150946796, 'lat': '47.3756578', 'lon': '-121.8684444', 'class': 'place', 'type': 'hamlet', 'place_rank': 20, 'importance': 0.3233866831, 'addresstype': 'hamlet', 'name': 'Selleck', 'display_name': 'Selleck, King County, Washington, United States', 'boundingbox': ['47.3556578', '47.3956578', '-121.8884444', '-121.8484444']}",USA,"Washington, United States",WA
1950,1953-04-20,2308,"San Francisco Bay, California",Western Airlines,636,Los Angeles - San Francisco - Oakland,Douglas DC-6B,N91303,43823,"{'total': 10, 'passengers': 5, 'crew': 5}","{'total': 8, 'passengers': 4, 'crew': 4}",0.0,The aircraft descended below minimum altitude and crashed into the sea. The pilot's action in continuing a descent below the 500 ft. prescribed minimum altitude until the aircraft struck the water. A probable contributing factor to the aircraft striking the water was the sensory illusion experienced by the pilots.,10,8,Western Airlines,"{'place_id': 311734526, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 9451753, 'lat': '37.71402905', 'lon': '-122.30779415179862', 'class': 'natural', 'type': 'bay', 'place_rank': 22, 'importance': 0.5492389724, 'addresstype': 'bay', 'name': 'San Francisco Bay', 'display_name': 'San Francisco Bay, San Mateo County, California, United States', 'boundingbox': ['37.4459815', '37.9830932', '-122.5049205', '-122.0339246']}",USA,"California, United States",CA
1950,1953-05-17,1415,"Near Marshall, Texas",Delta Air Lines,318,Dallas - Shreveport,Douglas DC-3,N28345,2224,"{'total': 20, 'passengers': 17, 'crew': 3}","{'total': 19, 'passengers': 16, 'crew': 3}",0.0,"The plane crashed 13 miles east of Marashall Texas, during an approach to Shreveport in a severe thunderstorm. The encountering of conditions in a severe thunderstorm that resulted in loss of effective control of the aircraft and the failure of the captain to adhere to company directives requiring the avoidance of thunderstorms when conditions would allow such action.",20,19,Delta Air Lines,"{'place_id': 305234088, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 114690, 'lat': '31.2638905', 'lon': '-98.5456116', 'class': 'boundary', 'type': 'administrative', 'place_rank': 8, 'importance': 0.7580521395, 'addresstype': 'state', 'name': 'Texas', 'display_name': 'Texas, United States', 'boundingbox': ['25.8370600', '36.5004529', '-106.6458459', '-93.5078217']}",USA,"Texas, United States",TX
1950,1953-05-24,0418,"St. Louis, Missouri",Meteor Air,,Teterboro - Saint Louis,Douglas DC-3,N53596,20433,"{'total': 7, 'passengers': 2, 'crew': 5}","{'total': 6, 'passengers': 1, 'crew': 5}",,Mismanagement of fuel resulting in loss of power and control while circling the field preparatory to an approach for landing.,7,6,Meteor Air,"{'place_id': 322983104, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1180533, 'lat': '38.6280278', 'lon': '-90.1910154', 'class': 'boundary', 'type': 'administrative', 'place_rank': 12, 'importance': 0.649895757, 'addresstype': 'independent_city', 'name': 'St. Louis', 'display_name': 'St. Louis, Missouri, United States', 'boundingbox': ['38.5323215', '38.7743018', '-90.3206525', '-90.1641941']}",USA,"Missouri, United States",MO
1950,1953-07-17,2315,"Near Milton, Florida",Military - U.S. Navy,,Whitting NAS - Norfolk NB,Fairchild R4Q-2,131663,10830,"{'total': 46, 'passengers': 40, 'crew': 6}","{'total': 44, 'passengers': 39, 'crew': 5}",0.0,"The co-pilot failed to maintain a sufficient rate of climb after becoming airborne, struck obstacles and crashed into a wooded area. The pilot suffered from spatial disorientation immediately after liftoff.",46,44,Military,"{'place_id': 294466527, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 162050, 'lat': '27.7567667', 'lon': '-81.4639835', 'class': 'boundary', 'type': 'administrative', 'place_rank': 8, 'importance': 0.7512139728, 'addresstype': 'state', 'name': 'Florida', 'display_name': 'Florida, United States', 'boundingbox': ['24.3963080', '31.0007620', '-87.6348960', '-79.9743060']}",USA,"Florida, United States",FL
